Thinking Process:

1.  **Analyze the Request:**
      "phase_evolution": "Coarser DO3 phase formed due to slow cooling."
    }
  ],
  "properties": [
    {
      "property_set_id": "prop_set_1100",
      "sample_id": "sample_1100_water",
      "mechanical": {
        "tensile_properties": {
          "yield_strength": [
            {
              "direction": "RD",
              "value": null,
              "unit": "MPa",
              "others": {
                "uncertainty": null
              }
            }
          ],
          "ultimate_tensile_strength": [
            {
              "direction": "RD",
              "value": "1048",
              "unit": "MPa",
              "others": {
                "uncertainty": null
              }
            }
          ],
          "elongation": [
            {
              "direction": "RD",
              "value": "38",
              "unit": "percent"
            }
          ],
          "youngs_modulus": null,
          "stress_strain_curves": null,
          "strain_hardening_rate": []
        },
        "hardness": [],
        "fracture_toughness": null,
        "fatigue_properties": null,
        "creep_properties": null
      },
      "physical": {
        "density": {
          "value": "6.30",
          "unit": "g_cm-3"
        },
        "thermal_properties": null,
        "electrical_properties": null,
        "magnetic_properties": null
      },
      "chemical": {
        "corrosion_resistance": null,
        "oxidation_resistance": null
      },
      "radiation_properties": null
    },
    {
      "property_set_id": "prop_set_1100_ac",
      "sample_id": "sample_1100_air",
      "mechanical": {
        "tensile_properties": {
          "yield_strength": [],
          "ultimate_tensile_strength": [],
          "elongation": [],
          "youngs_modulus": null,
          "stress_strain_curves": null
        },
        "hardness": [],
        "fracture_toughness": null,
        "fatigue_properties": null,
        "creep_properties": null
      },
      "physical": {
        "density": null,
        "thermal_properties": null,
        "electrical_properties": null,
        "magnetic_properties": null
      },
      "chemical": null,
      "radiation_properties": null
    }
  ],
  "performance": [
    {
      "performance_id": "perf_001",
      "sample_id": "sample_1100_water",
      "service_conditions": null,
      "lifetime_prediction": null,
      "comparative_performance": {
        "benchmark_alloy": null,
        "benchmark_process_id": null,
        "benchmark_sample_id": null,
        "improvement_percentage": null
      }
    }
  ],
  "characterization_methods": [
    {
      "characterization_id": "char_001",
      "sample_id": "sample_1100_water",
      "microstructure_uuid": "uuid_struct_wq_001",
      "technique": "SEM",
      "purpose": "Microstructure observation",
      "key_findings": "Fine kappa-carbide in austenite matrix."
    },
    {
      "characterization_id": "char_002",
      "sample_id": "sample_1100_water",
      "microstructure_uuid": "uuid_struct_wq_001",
      "technique": "EBSD",
      "purpose": "Phase identification and grain mapping",
      "key_findings": "EBSD phase map showing FCC and DO3."
    },
    {
      "characterization_id": "char_003",
      "sample_id": "sample_1100_water",
      "microstructure_uuid": "null",
      "technique": "TEM",
      "purpose": "In-depth identification of phases",
      "key_findings": "Confirmation of fine kappa-carbide and ordered DO3 phase."
    },
    {
      "characterization_id": "char_004",
      "sample_id": "sample_1100_water",
      "microstructure_uuid": null,
      "technique": "XRD",
      "purpose": "Phase identification",
      "key_findings": "Used for DO3 phase identification."
    },
    {
      "characterization_id": "char_005",
      "sample_id": "sample_1100_water",
      "microstructure_uuid": null,
      "technique": "Tensile Test",
      "purpose": "Evaluation of mechanical properties",
      "key_findings": "Yield and tensile strength evaluation (ASTM E8)."
    }
  ],
  "computational_details": [
    {
      "computation_id": null,
      "sample_id": null,
      "simulation_method": null,
      "software_used": null,
      "potential_model": null,
      "validation_against_experiment": null,
      "analytical_model": []
    }
  ],
  "unmapped_findings": [
    "Intergranular cracking in samples soaked at 1150-1200 °C was attributed to coarse grain and large fraction of ferrite transformed to ordered DO3 phase during cooling at grain boundaries.",
    "Water quenching was effective in preventing ferrite transformation due to slower diffusion requirement for BCC phase compared to kappa-carbide spinodal decomposition.",
    "Cross head speed for tensile tests was 2 mm/min at room temperature."
  ]
}
